county_name,state,county_code,deaths,population,crude_rate
Seminole,FL,12117,1573,474171,331.7
Sumter,FL,12119,1033,139018,743.1
Suwannee,FL,12121,269,44851,599.8
Taylor,FL,12123,138,21600,638.9
Union,FL,12125,95,15182,625.7
Volusia,FL,12127,3230,561497,575.2
Wakulla,FL,12129,154,34319,448.7
Walton,FL,12131,352,76648,459.2
Washington,FL,12133,141,25932,543.7
Appling,GA,13001,91,18325,496.6
Atkinson,GA,13003,38,8393,452.8
Bacon,GA,13005,62,11036,561.8
Baker,GA,13007,10,2971,Unreliable
Baldwin,GA,13009,180,45099,399.1
Banks,GA,13011,91,19352,470.2
Barrow,GA,13013,299,85588,349.3
Bartow,GA,13015,443,109426,404.8
Ben Hill,GA,13017,82,16614,493.6
Berrien,GA,13019,97,19408,499.8
Bibb,GA,13021,788,152737,515.9
Bleckley,GA,13023,64,12955,494.0
Brantley,GA,13025,98,19202,510.4
Brooks,GA,13027,92,15357,599.1
Bryan,GA,13029,127,40755,311.6
Bulloch,GA,13031,279,80839,345.1
Burke,GA,13033,109,22648,481.3
Butts,GA,13035,134,25426,527.0
Calhoun,GA,13037,22,6231,353.1
Camden,GA,13039,158,55388,285.3
Candler,GA,13043,61,10985,555.3
Carroll,GA,13045,498,121633,409.4
Catoosa,GA,13047,336,67996,494.1
Charlton,GA,13049,61,13430,454.2
Chatham,GA,13051,1153,289463,398.3
Chattahoochee,GA,13053,16,10551,Unreliable
Chattooga,GA,13055,184,24843,740.7
Cherokee,GA,13057,851,265274,320.8
Clarke,GA,13059,349,127795,273.1
Clay,GA,13061,11,2866,Unreliable
Clayton,GA,13063,800,292646,273.4
Clinch,GA,13065,27,6582,410.2
Cobb,GA,13067,1978,762944,259.3
Coffee,GA,13069,190,43218,439.6
Colquitt,GA,13071,214,45542,469.9
Columbia,GA,13073,488,160377,304.3
Cook,GA,13075,108,17291,624.6
Coweta,GA,13077,512,150849,339.4
Crawford,GA,13079,53,12231,433.3
Crisp,GA,13081,104,22034,472.0
Dade,GA,13083,83,16057,516.9
Dawson,GA,13085,129,27113,475.8
Decatur,GA,13087,146,26457,551.8
DeKalb,GA,13089,1991,762009,261.3
Dodge,GA,13091,96,20452,469.4
Dooly,GA,13093,56,13174,425.1
Dougherty,GA,13095,435,86477,503.0
Douglas,GA,13097,421,147988,284.5
Early,GA,13099,64,10037,637.6
Effingham,GA,13103,214,65765,325.4
Elbert,GA,13105,139,19335,718.9
Emanuel,GA,13107,121,22507,537.6
Evans,GA,13109,45,10638,423.0
Fannin,GA,13111,187,26521,705.1
Fayette,GA,13113,465,115821,401.5
Floyd,GA,13115,525,98604,532.4
Forsyth,GA,13117,563,250847,224.4
Franklin,GA,13119,144,23504,612.7
Fulton,GA,13121,2931,1077402,272.0
Gilmer,GA,13123,166,31978,519.1
Glascock,GA,13125,20,2984,670.2
Glynn,GA,13127,402,85568,469.8
Gordon,GA,13129,280,58780,476.4
Grady,GA,13131,116,24491,473.6
Greene,GA,13133,89,18837,472.5
Gwinnett,GA,13135,2053,942627,217.8
Habersham,GA,13137,216,46047,469.1
Hall,GA,13139,672,206591,325.3
Hancock,GA,13141,43,8494,506.2
Haralson,GA,13143,164,30383,539.8
Harris,GA,13145,130,36080,360.3
Hart,GA,13147,168,26406,636.2
Heard,GA,13149,60,11973,501.1
Henry,GA,13151,788,239139,329.5
Houston,GA,13153,556,160110,347.3
Irwin,GA,13155,62,9387,660.5
Jackson,GA,13157,303,76199,397.6
Jasper,GA,13159,77,14483,531.7
Jeff Davis,GA,13161,65,15213,427.3
Jefferson,GA,13163,103,15267,674.7
Jenkins,GA,13165,55,8746,628.9
Johnson,GA,13167,51,9667,527.6
Jones,GA,13169,117,28787,406.4
Lamar,GA,13171,86,19261,446.5
Lanier,GA,13173,46,10737,428.4
Laurens,GA,13175,258,47512,543.0
Lee,GA,13177,126,30234,416.7
Liberty,GA,13179,177,63004,280.9
Lincoln,GA,13181,36,8031,448.3
Long,GA,13183,50,20171,247.9
Lowndes,GA,13185,459,118268,388.1
Lumpkin,GA,13187,139,34186,406.6
McDuffie,GA,13189,119,21162,562.3
McIntosh,GA,13191,61,14387,424.0
Macon,GA,13193,61,12712,479.9
Madison,GA,13195,154,30457,505.6
Marion,GA,13197,39,8516,458.0
Meriwether,GA,13199,122,21164,576.5
Miller,GA,13201,38,5622,675.9
Mitchell,GA,13205,118,21602,546.2
Monroe,GA,13207,149,28042,531.3
Montgomery,GA,13209,37,9012,410.6
Morgan,GA,13211,80,19636,407.4
Murray,GA,13213,200,40032,499.6
Muscogee,GA,13215,887,196442,451.5
Newton,GA,13217,403,113295,355.7
Oconee,GA,13219,139,41124,338.0
Oglethorpe,GA,13221,73,15383,474.5
Paulding,GA,13223,512,173359,295.3
Peach,GA,13225,140,27950,500.9
Pickens,GA,13227,208,33127,627.9
Pierce,GA,13229,114,19522,584.0
Pike,GA,13231,108,19121,564.8
Polk,GA,13233,194,42840,452.8
Pulaski,GA,13235,53,11191,473.6
Putnam,GA,13237,128,22520,568.4
Quitman,GA,13239,18,2271,Unreliable
Rabun,GA,13241,90,17273,521.0
Randolph,GA,13243,32,6682,478.9
Richmond,GA,13245,921,202079,455.8
Rockdale,GA,13247,326,90939,358.5
Schley,GA,13249,16,5196,Unreliable
Screven,GA,13251,81,14012,578.1
Seminole,GA,13253,57,8060,707.2
Spalding,GA,13255,361,67414,535.5
Stephens,GA,13257,174,26107,666.5
Stewart,GA,13259,33,6689,493.3
Sumter,GA,13261,150,29282,512.3
Talbot,GA,13263,33,6143,537.2
Taliaferro,GA,13265,12,1562,Unreliable
Tattnall,GA,13267,105,25365,414.0
Taylor,GA,13269,49,8074,606.9
Telfair,GA,13271,57,15781,361.2
Terrell,GA,13273,53,8523,621.8
Thomas,GA,13275,234,44372,527.4
Tift,GA,13277,190,40719,466.6
Toombs,GA,13279,139,26973,515.3
Towns,GA,13281,103,12247,841.0
Treutlen,GA,13283,41,6822,601.0
Troup,GA,13285,327,70214,465.7
Turner,GA,13287,51,7882,647.0
Twiggs,GA,13289,51,8103,629.4
Union,GA,13291,176,25358,694.1
Upson,GA,13293,168,26527,633.3
Walker,GA,13295,397,70116,566.2
Walton,GA,13297,419,96875,432.5
Ware,GA,13299,211,35826,589.0
Warren,GA,13301,31,5232,592.5
Washington,GA,13303,91,20150,451.6
Wayne,GA,13305,163,30023,542.9
Wheeler,GA,13309,34,7751,438.7
White,GA,13311,169,31094,543.5
Whitfield,GA,13313,402,103837,387.1
Wilcox,GA,13315,59,8502,694.0
Wilkes,GA,13317,70,9694,722.1
Wilkinson,GA,13319,60,8812,680.9
Worth,GA,13321,122,19972,610.9
Hawaii,HI,15001,805,203340,395.9
Honolulu,HI,15003,3364,963826,349.0
Kauai,HI,15007,242,71851,336.8
Maui,HI,15009,553,167902,329.4
Ada,ID,16001,1537,494399,310.9
Adams,ID,16003,22,4447,494.7
Bannock,ID,16005,321,88795,361.5
Bear Lake,ID,16007,24,6143,390.7
Benewah,ID,16009,65,9430,689.3
Bingham,ID,16011,160,47202,339.0
Blaine,ID,16013,52,23426,222.0
Boise,ID,16015,27,8065,334.8
Bonner,ID,16017,208,46817,444.3
Bonneville,ID,16019,386,122134,316.0
Boundary,ID,16021,52,12656,410.9
Butte,ID,16023,14,2646,Unreliable
Canyon,ID,16027,828,237053,349.3
Caribou,ID,16029,24,7123,336.9
Cassia,ID,16031,89,24277,366.6
Clearwater,ID,16035,47,8846,531.3
Custer,ID,16037,23,4249,541.3
Elmore,ID,16039,109,27448,397.1
Franklin,ID,16041,45,14215,316.6
Fremont,ID,16043,57,13218,431.2
Gem,ID,16045,86,18703,459.8
Gooding,ID,16047,70,15618,448.2
Idaho,ID,16049,76,16823,451.8
Jefferson,ID,16051,89,30581,291.0
Jerome,ID,16053,89,24578,362.1
