county,state,county_code,deaths,population,crude_rate,year,death_rate_lag1
San Benito County,CA,6069,173,64055,270.1,2022,NA
San Bernardino County,CA,6071,7239,2189183,330.7,2022,NA
San Diego County,CA,6073,9951,3332427,298.6,2022,NA
San Francisco County,CA,6075,2522,866606,291.0,2022,NA
San Joaquin County,CA,6077,2546,767967,331.5,2022,NA
San Luis Obispo County,CA,6079,1085,282249,384.4,2022,NA
San Mateo County,CA,6081,1995,758308,263.1,2022,NA
Santa Barbara County,CA,6083,1334,444766,299.9,2022,NA
Santa Clara County,CA,6085,4259,1907105,223.3,2022,NA
Santa Cruz County,CA,6087,752,269925,278.6,2022,NA
Shasta County,CA,6089,996,179027,556.3,2022,NA
Sierra County,CA,6091,14,2920,Unreliable,2022,NA
Siskiyou County,CA,6093,269,43245,622.0,2022,NA
Solano County,CA,6095,1591,446935,356.0,2022,NA
Sonoma County,CA,6097,1711,489819,349.3,2022,NA
Stanislaus County,CA,6099,2016,550081,366.5,2022,NA
Sutter County,CA,6101,374,96385,388.0,2022,NA
Tehama County,CA,6103,359,64494,556.6,2022,NA
Trinity County,CA,6105,60,12216,491.2,2022,NA
Tulare County,CA,6107,1488,468680,317.5,2022,NA
Tuolumne County,CA,6109,317,54515,581.5,2022,NA
Ventura County,CA,6111,2651,841387,315.1,2022,NA
Yolo County,CA,6113,595,219728,270.8,2022,NA
Yuba County,CA,6115,283,80160,353.0,2022,NA
Adams County,CO,8001,1487,519883,286.0,2022,NA
Alamosa County,CO,8003,64,16180,395.6,2022,NA
Arapahoe County,CO,8005,1831,657452,278.5,2022,NA
Archuleta County,CO,8007,54,14196,380.4,2022,NA
Baca County,CO,8009,28,3555,787.6,2022,NA
Bent County,CO,8011,29,5356,541.4,2022,NA
Boulder County,CO,8013,816,327171,249.4,2022,NA
Broomfield County,CO,8014,205,72236,283.8,2022,NA
Chaffee County,CO,8015,82,20661,396.9,2022,NA
Cheyenne County,CO,8017,10,1795,Unreliable,2022,NA
Clear Creek County,CO,8019,28,9586,292.1,2022,NA
Conejos County,CO,8021,42,8143,515.8,2022,NA
Costilla County,CO,8023,18,3921,Unreliable,2022,NA
Crowley County,CO,8025,30,5696,526.7,2022,NA
Custer County,CO,8027,28,5183,540.2,2022,NA
Delta County,CO,8029,195,31067,627.7,2022,NA
Denver County,CO,8031,2044,735538,277.9,2022,NA
Dolores County,CO,8033,12,2096,Unreliable,2022,NA
Douglas County,CO,8035,807,360750,223.7,2022,NA
Eagle County,CO,8037,68,54929,123.8,2022,NA
Elbert County,CO,8039,81,27313,296.6,2022,NA
El Paso County,CO,8041,2423,728310,332.7,2022,NA
Fremont County,CO,8043,260,47867,543.2,2022,NA
Garfield County,CO,8045,156,60366,258.4,2022,NA
Gilpin County,CO,8047,11,6235,Unreliable,2022,NA
Grand County,CO,8049,41,15794,259.6,2022,NA
Gunnison County,CO,8051,30,17593,170.5,2022,NA
Huerfano County,CO,8055,49,6883,711.9,2022,NA
Jefferson County,CO,8059,2070,583283,354.9,2022,NA
Kit Carson County,CO,8063,29,7121,407.2,2022,NA
Lake County,CO,8065,13,7987,Unreliable,2022,NA
La Plata County,CO,8067,176,56564,311.2,2022,NA
Larimer County,CO,8069,1050,360428,291.3,2022,NA
Las Animas County,CO,8071,97,14420,672.7,2022,NA
Lincoln County,CO,8073,24,5680,422.5,2022,NA
Logan County,CO,8075,93,21974,423.2,2022,NA
Mesa County,CO,8077,696,155603,447.3,2022,NA
Moffat County,CO,8081,52,13144,395.6,2022,NA
Montezuma County,CO,8083,142,26408,537.7,2022,NA
Montrose County,CO,8085,197,43322,454.7,2022,NA
Morgan County,CO,8087,103,28941,355.9,2022,NA
Otero County,CO,8089,113,18201,620.8,2022,NA
Ouray County,CO,8091,17,5001,Unreliable,2022,NA
Park County,CO,8093,54,18955,284.9,2022,NA
Phillips County,CO,8095,30,4367,687.0,2022,NA
Pitkin County,CO,8097,27,17894,150.9,2022,NA
Prowers County,CO,8099,52,12106,429.5,2022,NA
Pueblo County,CO,8101,925,169823,544.7,2022,NA
Rio Blanco County,CO,8103,26,6342,410.0,2022,NA
Rio Grande County,CO,8105,63,11296,557.7,2022,NA
Routt County,CO,8107,53,25560,207.4,2022,NA
Saguache County,CO,8109,38,6938,547.7,2022,NA
San Miguel County,CO,8113,16,8105,Unreliable,2022,NA
Sedgwick County,CO,8115,25,2260,1106.2,2022,NA
Summit County,CO,8117,29,30631,94.7,2022,NA
Teller County,CO,8119,92,25529,360.4,2022,NA
Washington County,CO,8121,26,4875,533.3,2022,NA
Weld County,CO,8123,903,333983,270.4,2022,NA
Yuma County,CO,8125,36,10047,358.3,2022,NA
Fairfield County,CT,9001,3004,942426,318.8,2022,NA
Hartford County,CT,9003,3578,889226,402.4,2022,NA
Litchfield County,CT,9005,817,179610,454.9,2022,NA
Middlesex County,CT,9007,687,161657,425.0,2022,NA
New Haven County,CT,9009,3487,851948,409.3,2022,NA
New London County,CT,9011,1160,264999,437.7,2022,NA
Tolland County,CT,9013,506,150600,336.0,2022,NA
Windham County,CT,9015,529,116540,453.9,2022,NA
Kent County,DE,10001,905,183643,492.8,2022,NA
New Castle County,DE,10003,2185,561531,389.1,2022,NA
Sussex County,DE,10005,1406,241635,581.9,2022,NA
District of Columbia,DC,11001,2048,712816,287.3,2022,NA
Alachua County,FL,12001,886,271218,326.7,2022,NA
Baker County,FL,12003,135,29566,456.6,2022,NA
Bay County,FL,12005,888,171322,518.3,2022,NA
Bradford County,FL,12007,140,28593,489.6,2022,NA
Brevard County,FL,12009,3369,608459,553.7,2022,NA
Broward County,FL,12011,6624,1958105,338.3,2022,NA
Calhoun County,FL,12013,75,14078,532.7,2022,NA
Charlotte County,FL,12015,1267,194711,650.7,2022,NA
Citrus County,FL,12017,1312,153010,857.5,2022,NA
Clay County,FL,12019,957,221770,431.5,2022,NA
Collier County,FL,12021,1680,392973,427.5,2022,NA
Columbia County,FL,12023,432,72654,594.6,2022,NA
DeSoto County,FL,12027,150,38520,389.4,2022,NA
